"LOCATION","Country","VAR","Variable","ISIC4","ISIC4","SRC","Source","SCL","Size Class","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2011","2011","EUR","Euro","6","Millions",,,0.014,,
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2012","2012","EUR","Euro","6","Millions",,,0.014,,
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2013","2013","EUR","Euro","6","Millions",,,0.014,,
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2014","2014","EUR","Euro","6","Millions",,,0.015,,
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2015","2015","EUR","Euro","6","Millions",,,0.015,,
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2016","2016","EUR","Euro","6","Millions",,,0.016,,
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2017","2017","EUR","Euro","6","Millions",,,0.017,,
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2018","2018","EUR","Euro","6","Millions",,,0.018,"B","Break"
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2019","2019","EUR","Euro","6","Millions",,,0.018,,
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2020","2020","EUR","Euro","6","Millions",,,0.02,,
"MLT","Malta","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2008","2008","EUR","Euro","6","Millions",,,0.028,,
"MLT","Malta","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2010","2010","EUR","Euro","6","Millions",,,0.031,,
"MLT","Malta","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2011","2011","EUR","Euro","6","Millions",,,0,,
"MLT","Malta","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2012","2012","EUR","Euro","6","Millions",,,0.042,,
"MLT","Malta","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2013","2013","EUR","Euro","6","Millions",,,0.045,,
"MLT","Malta","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2014","2014","EUR","Euro","6","Millions",,,0.049,,
"MLT","Malta","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2015","2015","EUR","Euro","6","Millions",,,0.049,,
"MLT","Malta","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2016","2016","EUR","Euro","6","Millions",,,0.055,,
"MLT","Malta","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2017","2017","EUR","Euro","6","Millions",,,0.061,,
"MLT","Malta","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2018","2018","EUR","Euro","6","Millions",,,0.053,,
"MLT","Malta","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2019","2019","EUR","Euro","6","Millions",,,0.056,,
"MLT","Malta","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2020","2020","EUR","Euro","6","Millions",,,0.061,,
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2005","2005","RON","Romanian Leu","6","Millions",,,0.035,,
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2006","2006","RON","Romanian Leu","6","Millions",,,0.038,,
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2007","2007","RON","Romanian Leu","6","Millions",,,0.039,,
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2008","2008","RON","Romanian Leu","6","Millions",,,0.055,,
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2009","2009","RON","Romanian Leu","6","Millions",,,0.053,,
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2010","2010","RON","Romanian Leu","6","Millions",,,0.054,,
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2011","2011","RON","Romanian Leu","6","Millions",,,0.056,,
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2012","2012","RON","Romanian Leu","6","Millions",,,0.059,,
