"LOCATION","Country","IND","Variable","SEC","ISIC4","SCL","Size Class","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"EST","Estonia","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,2.2,,
"EST","Estonia","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,2.2,,
"EST","Estonia","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,4.2,,
"EST","Estonia","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,5,"B","Break"
"EST","Estonia","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,3.8,,
"EST","Estonia","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,3.4,,
"EST","Estonia","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,2.5,,
"EST","Estonia","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2017","2017","PC","Percentage","0","Units",,,4.2,,
"EST","Estonia","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2018","2018","PC","Percentage","0","Units",,,5.7,,
"EST","Estonia","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2019","2019","PC","Percentage","0","Units",,,7.1,,
"EST","Estonia","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,38,,
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,9.8,,
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,9.3,,
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,8.7,,
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,9.3,"B","Break"
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,9.1,,
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,8.8,,
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,9,,
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,8.6,,
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,8,,
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,7.9,"B","Break"
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,7.9,,
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,7.5,,
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,8,,
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2017","2017","PC","Percentage","0","Units",,,7.3,,
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2018","2018","PC","Percentage","0","Units",,,7.5,,
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2019","2019","PC","Percentage","0","Units",,,6.9,,
"AUT","Austria","B_R","Birth rate of all enterprises","58_63","Information and communication","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,6.5,,
"DNK","Denmark","B_R","Birth rate of all enterprises","10_33","Manufacturing","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,6.6,,
"DNK","Denmark","B_R","Birth rate of all enterprises","10_33","Manufacturing","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,7.4,,
"DNK","Denmark","B_R","Birth rate of all enterprises","10_33","Manufacturing","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,8.8,,
"DNK","Denmark","B_R","Birth rate of all enterprises","10_33","Manufacturing","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,7.8,,
"DNK","Denmark","B_R","Birth rate of all enterprises","10_33","Manufacturing","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,7.3,,
"DNK","Denmark","B_R","Birth rate of all enterprises","10_33","Manufacturing","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,7.8,,
"DNK","Denmark","B_R","Birth rate of all enterprises","10_33","Manufacturing","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,7.4,,
"DNK","Denmark","B_R","Birth rate of all enterprises","10_33","Manufacturing","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,8.8,,
"DNK","Denmark","B_R","Birth rate of all enterprises","10_33","Manufacturing","TOTAL","Total","2017","2017","PC","Percentage","0","Units",,,8.3,,
"DNK","Denmark","B_R","Birth rate of all enterprises","10_33","Manufacturing","TOTAL","Total","2018","2018","PC","Percentage","0","Units",,,8.1,,
"DNK","Denmark","B_R","Birth rate of all enterprises","10_33","Manufacturing","TOTAL","Total","2019","2019","PC","Percentage","0","Units",,,8.4,,
"DNK","Denmark","B_R","Birth rate of all enterprises","10_33","Manufacturing","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,8.9,,
"GBR","United Kingdom","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,20.7,,
"GBR","United Kingdom","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,23.2,,
"GBR","United Kingdom","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,26.7,,
"GBR","United Kingdom","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,44.6,,
"GBR","United Kingdom","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,39.9,,
"GBR","United Kingdom","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,37.4,,
"GBR","United Kingdom","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,34.3,,
"GBR","United Kingdom","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,44.8,,
"GBR","United Kingdom","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,22.2,,
"GBR","United Kingdom","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2017","2017","PC","Percentage","0","Units",,,15.9,,
"GBR","United Kingdom","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2018","2018","PC","Percentage","0","Units",,,12.6,,
"ROU","Romania","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,11.7,,
"ROU","Romania","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,9.4,,
"ROU","Romania","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,8.8,,
"ROU","Romania","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,12.1,"B","Break"
"ROU","Romania","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,11.7,,
